woorden,categorie 1,categorie 2
ardennen,wetenschap,
vitamine,wetenschap,
vitaminerijk,wetenschap,
sulfaat,wetenschap,
energie,wetenschap,
geneeskrachtig,wetenschap,
aardlagen,wetenschap,
gemineraliseerd,wetenschap,
heilzaam,wetenschap,
spijsvertering,wetenschap,
zouten,wetenschap,
zout,wetenschap,genot
zuiver,wetenschap,genot
zuiverst,wetenschap,genot
zuiverheid,wetenschap,genot
suiker,wetenschap,genot
kalium,wetenschap,
natrium,wetenschap,
lithium,wetenschap,
calcium,wetenschap,
magnesium,wetenschap,
mangaan,wetenschap,
sulfaten,wetenschap,
functie,wetenschap,
chemisch,wetenschap,
spa,water,
koolzuurhoudend,water,
koolzuur,water,
mineraal,water,wetenschap
mineraalwater,water,
bronwater,water,
chaudfontaine,water,
spuitwater,water,
tafelwater,water,
puur,genot,
reine,genot,water
sprankelend,genot,
smaak,genot,
natuurlijk,genot,
lekker,genot,
fruitig,genot,
fris,genot,
heerlijk,genot,
bruisend,genot,
bubbels,genot,
helder,genot,
natuur,genot,
gezond,genot,
verfrissend,genot,
verrassend,genot,
spannend,genot,
twist,genot,
dorstlesser,genot,