;Year;Month;Page
;1979;December;32
;1980;maart;56
;1980;september;56
;1980;december;120
;1982;december;48
;1983;Oktober;40
;1983;december;64
;1984;feb;48
;1984;Apr;48
;1984;Jun;48
;1984;Juli;48
;1984;oktober;48
;1984;november;48
;1984;december;64
;1985;Feb;48
;1985;apr;52
;1985;Mei;48
;1985;jun;52
;1985;sept;52
;1985;nov;52
;1985;dec;68
;1986;jan;48
;1986;feb;48
;1986;maart;52
;1986;Mei;52
;1986;jun;52
;1986;sept;52
;1986;okt;52
;1986;nov;52
;1986;dec;68
;1987;jan;56
;1987;maart;48
;1987;April;56
;1987;Mei;28
;1987;juli;56
;1987;augustus;56
;1987;september;64
;1987;oktober;80
;1987;december;72
;1988;jan;58
;1988;feb;80
;1988;maart;72
;1988;Mei;72
;1988;juni;72
;1988;aug;74
;1988;okt;84
;1988;nov;72
;1988;dec;96
;1989;jan;64
;1989;feb;64
;1989;Mrt;80
;1989;apr;80
;1989;Mei;80
;1989;jun;80
;1989;jul;72
;1989;se;82
;1989;okt;80
;1989;nov;88
;1989;dec;97
;1990;jan;64
;1990;feb;72
;1990;Mrt;80
;1990;apr;96
;1990;Mei;88
;1990;jun;88
;1990;jul;88
;1990;aug;80
;1990;sept;100
;1990;okt;108
;1990;nov;96
;1990;dec;108
;1991;jan;76
;1991;feb;84
;1991;Mrt;108
;1991;apr;108
;1991;Mei;108
;1991;jun;108
;1991;jul;84
;1991;aug;76
;1991;sept;108
;1991;okt;108
;1991;nov;108
;1991;dec;116
;1992;jan;74
;1992;feb;100
;1992;Mrt;108
;1992;apr;152
;1992;Mei;108
;1992;jun;108
;1992;jul;70
;1992;aug;68
;1992;sept;108
;1992;okt;146
;1992;nov;140
;1992;dec;144
;1993;jan;74
;1993;feb;100
;1993;Mrt;108
;1993;apr;166
;1993;Mei;116
;1993;jun;116
;1993;jul;76
;1993;aug;68
;1993;sept;108
;1993;okt;168
;1993;nov;140
;1993;dec;138
;1994;jan;70
;1994;feb;78
;1994;Mrt;144
;1994;apr;186
;1994;Mei;194
;1994;jun;122
;1994;jul;70
;1994;aug;62
;1994;sept;166
;1994;okt;114
;1994;nov;122
;1994;dec;166
;1995;jan;60
;1995;feb;84
;1995;Mrt;92
;1995;apr;224
;1995;Mei;110
;1995;jun;92
;1995;jul;60
;1995;aug;136
;1995;sept;104
;1995;okt;96
;1995;nov;144
;1995;dec;104
;1996;jan;62
;1996;feb;162
;1996;Mrt;122
;1996;apr;98
;1996;Mei;114
;1996;jun;168
;1996;aug;60
;1996;sept;248
;1996;okt;116
;1996;nov;98
;1996;dec;118
;1997;jan;76
;1997;feb;84
;1997;Mrt;120
;1997;apr;92
;1997;Mei;116
;1997;jun;108
;1997;jul;108
;1997;aug;88
;1997;sept;100
;1997;okt;104
;1997;nov;140
;1997;dec;140
;1998;jan;72
;1998;feb;92
;1998;Mrt;100
;1998;apr;140
;1998;Mei;124
;1998;jun;140
;1998;jul;132
;1998;aug;100
;1998;sept;148
;1998;okt;148
;1998;nov;132
;1998;dec;156
;1999;jan;76
;1999;feb;100
;1999;Mrt;168
;1999;apr;100
;1999;Mei;128
;1999;jun;148
;1999;jul;100
;1999;aug;104
;1999;sept;148
;1999;okt;144
;1999;nov;132
;1999;dec;188
;2000;jan;88
;2000;feb;108
;2000;Mrt;132
;2000;apr;132
;2000;Mei;140
;2000;jun;152
;2000;jul;116
;2000;aug;108
;2000;sept;140
;2000;okt;148
;2000;nov;216
;2000;dec;172
;2001;jan;92
;2001;feb;108
;2001;Mrt;92
;2001;apr;148
;2001;Mei;132
;2001;jun;140
;2001;jul;124
;2001;aug;124
;2001;sept;164
;2001;okt;164
;2001;nov;164
;2001;dec;172
;2002;jan;124
;2002;feb;122
;2002;Mrt;164
;2002;apr;132
;2002;Mei;148
;2002;jun;148
;2002;jul;148
;2002;aug;148
;2002;sept;164
;2002;okt;162
;2002;nov;164
;2002;dec;164
;2003;jan;149
;2003;feb;148
;2003;Mrt;148
;2003;apr;164
;2003;Mei;132
;2003;jun;156
;2003;jul;160
;2003;aug;148
;2003;sept;168
;2003;okt;168
;2003;nov;168
;2003;dec;340
;2004;jan;252
;2004;feb;132
;2004;Mrt;272
;2004;apr;120
;2004;Mei;140
;2004;jun;128
;2004;jul;124
;2004;aug;264
;2004;sept;168
;2004;okt;180
;2004;nov;172
;2004;dec;168
;2005;jan;132
;2005;feb;140
;2005;Mrt;152
;2005;apr;128
;2005;Mei;308
;2005;jun;168
;2005;aug;176
;2005;sept;168
;2005;okt;340
;2005;nov;168
;2005;dec;168
;2006;jan;168
;2006;feb;168
;2006;Mrt;160
;2006;apr;328
;2006;Mei;160
;2006;jun;160
;2006;jul;168
;2006;aug;184
;2006;sept;168
;2006;okt;168
;2006;nov;168
;2006;dec;180
;2008;jan;168
;2008;feb;168
;2008;Mrt;336
;2008;apr;184
;2008;Mei;336
;2008;jun;168
;2008;jul;168
;2008;aug;168
;2008;sept;168
;2008;okt;168
;2008;nov;192
;2008;dec;182
;2009;jan;168
;2009;feb;181
;2009;Mrt;344
;2009;apr;168
;2009;Mei;168
;2009;jun;156
;2009;jul;156
;2009;aug;156
;2009;sept;168
;2009;okt;188
;2009;nov;164
;2009;dec;196
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;